project_id,repo_name,canonical_full_name,language,modelA_usable_months,modelA_ge2,modelA_ge12,modelB_usable_months_conservative,modelC_usable_months,modelD_usable_months
"GHSP0001","01-ai/Yi","01-ai/Yi","Jupyter Notebook",7,1,0,7,7,24
"GHSP0002","1Panel-dev/1Panel","1Panel-dev/1Panel","Go",24,1,1,24,24,24
"GHSP0003","33cn/chain33","33cn/chain33","Go",0,0,0,0,0,24
"GHSP0004","648540858/wvp-GB28181-pro","648540858/wvp-GB28181-pro","Java",24,1,1,24,24,24
"GHSP0005","abel533/Mapper","abel533/Mapper","Java",8,1,0,8,8,24
"GHSP0006","aboutcode-org/scancode-toolkit","aboutcode-org/scancode-toolkit","Python",24,1,1,24,24,24
"GHSP0007","actboy168/lua-debug","actboy168/lua-debug","Lua",8,1,0,8,8,24
"GHSP0008","activeadmin/activeadmin","activeadmin/activeadmin","Ruby",18,1,1,18,18,24
"GHSP0009","activemerchant/active_merchant","activemerchant/active_merchant","Ruby",9,1,0,9,9,24
"GHSP0010","activerecord-hackery/ransack","activerecord-hackery/ransack","Ruby",13,1,1,13,13,24
"GHSP0011","adam-p/markdown-here","adam-p/markdown-here","JavaScript",10,1,0,10,10,24
"GHSP0012","aheckmann/gm","aheckmann/gm","JavaScript",2,1,0,2,2,24
"GHSP0013","Ahoo-Wang/CosId","Ahoo-Wang/CosId","Java",13,1,1,13,13,24
"GHSP0014","airbnb/javascript","airbnb/javascript","JavaScript",24,1,1,24,24,24
"GHSP0015","ajaxorg/ace","ajaxorg/ace","JavaScript",22,1,1,22,22,24
"GHSP0016","Alamofire/Alamofire","Alamofire/Alamofire","Swift",21,1,1,21,21,24
"GHSP0017","alerta/alerta","alerta/alerta","Python",7,1,0,7,7,24
"GHSP0018","alexreisner/geocoder","alexreisner/geocoder","Ruby",13,1,1,13,13,24
"GHSP0019","algorand/go-algorand","algorand/go-algorand","Go",11,1,0,11,11,24
"GHSP0020","alibaba/druid","alibaba/druid","Java",17,1,1,17,17,24
