project_id,repo_name,full_exposure_36,r1d_source_status
"GHSP0003","33cn/chain33",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0004","648540858/wvp-GB28181-pro",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0005","abel533/Mapper",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0006","aboutcode-org/scancode-toolkit",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0007","actboy168/lua-debug",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0008","activeadmin/activeadmin",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0009","activemerchant/active_merchant",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0010","activerecord-hackery/ransack",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0011","adam-p/markdown-here",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0012","aheckmann/gm",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0013","Ahoo-Wang/CosId",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0014","airbnb/javascript",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0015","ajaxorg/ace",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0016","Alamofire/Alamofire",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0017","alerta/alerta",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0018","alexreisner/geocoder",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0019","algorand/go-algorand",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0020","alibaba/druid",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0021","alibaba/MNN",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0022","alibaba/nacos",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0023","alibaba/spring-cloud-alibaba",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0024","alibaba/SREWorks",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0025","alibaba/tengine",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0026","alibaba/x-render",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0027","Alluxio/alluxio",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0028","alohaeditor/Aloha-Editor",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0029","ampproject/amphtml",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0030","amsul/pickadate.js",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0031","angular/angular",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0032","angular/components",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0033","ankane/searchkick",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0034","ansible/ansible",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0035","ant-design/ant-design",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0036","apache/arrow-rs",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0037","apache/bookkeeper",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0038","apache/buildstream",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0039","apache/carbondata",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0041","apache/cordova-android",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0042","apache/cordova-browser",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0043","apache/cordova-cli",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0044","apache/cordova-coho",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0045","apache/cordova-common",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0046","apache/cordova-create",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0047","apache/cordova-eslint",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0048","apache/cordova-fetch",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0049","apache/cordova-ios",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0050","apache/cordova-lib",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0051","apache/cordova-node-xcode",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0052","apache/cordova-paramedic",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0053","apache/cordova-plugin-battery-status",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0054","apache/cordova-plugin-camera",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0055","apache/cordova-plugin-file",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0056","apache/cordova-plugin-file-transfer",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0057","apache/cordova-plugin-inappbrowser",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0058","apache/cordova-plugin-network-information",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0059","apache/cordova-plugin-statusbar",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0060","apache/cordova-plugin-vibration",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0061","apache/cordova-plugman",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0062","apache/cordova-serve",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0063","apache/couchdb",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0064","apache/dolphinscheduler",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0065","apache/doris",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0066","apache/dubbo",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0067","apache/echarts",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0068","apache/eventmesh",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0069","apache/hugegraph",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0070","apache/jmeter",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0071","apache/kvrocks",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0072","apache/linkis",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0073","apache/paimon",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0074","apache/pinot",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0075","apache/poi",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0076","apache/seatunnel",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0077","apache/shardingsphere",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0078","apache/shardingsphere-elasticjob",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0079","apache/shenyu",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0080","apache/spark",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0081","apache/tomcat",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0082","apache/training",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0083","apache/tvm",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0084","apitable/apitable",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0085","appium/appium",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0086","aptos-labs/aptos-core",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0087","arduino/Arduino",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0088","arextest/arex-agent-java",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0089","armink/FlashDB",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0090","arviz-devs/arviz",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0091","AsyncHttpClient/async-http-client",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0092","Atmosphere/atmosphere",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0093","Auto-Mech/mechdriver",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0094","autogluon/autogluon",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0095","Automattic/mongoose",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0096","Automattic/node-canvas",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0097","Automattic/wp-calypso",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0098","autowarefoundation/autoware",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0099","aws/aws-cli",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0100","aws/karpenter-provider-aws",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0101","axios/axios",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0102","babel/babel",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0104","BabylonJS/Babylon.js",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0105","bactopia/bactopia",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0106","badges/shields",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0107","balderdashy/sails",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0108","baomidou/mybatis-plus",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0109","Bash-it/bash-it",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0110","bazel-contrib/rules_oci",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0111","bazelbuild/bazel",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0112","bazelbuild/rules_docker",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0113","bbatsov/prelude",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0114","bcit-ci/CodeIgniter",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0115","beagleboard/linux",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0116","beetbox/beets",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0117","benoitc/gunicorn",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0119","bitcoin/bitcoin",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0120","bitcoinj/bitcoinj",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0121","bitshares/bitshares-core",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0122","bjerkio/oidc-react",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0123","blevesearch/bleve",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0124","bnb-chain/bsc",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0125","bokeh/bokeh",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0126","bottlepy/bottle",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0127","brettwooldridge/HikariCP",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0128","brianc/node-postgres",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0129","briannesbitt/Carbon",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0130","bumptech/glide",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0131","BVLC/caffe",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0132","bytebase/bytebase",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0133","cakephp/cakephp",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0134","calcitem/Sanmill",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0135","Cantera/cantera",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0136","caolan/async",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0137","capistrano/capistrano",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0138","carrierwaveuploader/carrierwave",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0139","Carthage/Carthage",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0140","ccfos/nightingale",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0141","celery/celery",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0142","celo-org/celo-blockchain",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0143","cesanta/mongoose",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0144","CESNET/netopeer2",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0145","chaijs/chai",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0146","chaoss/grimoirelab",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0147","cheeriojs/cheerio",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0148","chef/chef",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0149","Chia-Network/chia-blockchain",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0150","cinder/Cinder",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0151","cisco/ChezScheme",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0152","clappr/clappr",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0153","clearml/clearml",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0154","cloud-custodian/cloud-custodian",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0155","cloudtty/cloudtty",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0156","cloudwego/hertz",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0157","cloudwego/kitex",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0158","cloudwu/skynet",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0159","clusterpedia-io/clusterpedia",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0160","cmderdev/cmder",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0161","CMU-Perceptual-Computing-Lab/openpose",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0162","cockroachdb/cockroach",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0163","CocoaLumberjack/CocoaLumberjack",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0164","Cocoanetics/DTCoreText",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0165","CocoaPods/CocoaPods",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0166","cocos2d/cocos2d-x",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0167","codecombat/codecombat",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0168","coleifer/peewee",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0169","composer/composer",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0170","CompVis/stable-diffusion",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0171","conda/conda",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0172","Conflux-Chain/conflux-rust",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0173","cookieY/Yearning",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0174","corda/corda",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0175","cortexproject/cortex",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0176","cosmos/cosmos-sdk",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0177","crystal-lang/crystal",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0178","cucumber/cucumber-ruby",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0179","cupy/cupy",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0180","curl/curl",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0181","cyfdecyf/cow",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0182","dagster-io/dagster",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0183","dataease/dataease",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0184","datavane/datavines",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0185","davisking/dlib",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0186","dbcli/mycli",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0187","dbcli/pgcli",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0188","dcloudio/uni-app",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0189","deepmodeling/deepmd-kit",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0190","deepstreamIO/deepstream.io",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0191","DefinitelyTyped/DefinitelyTyped",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0192","devtron-labs/devtron",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0193","dexidp/dex",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0194","diaspora/diaspora",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
"GHSP0195","didi/KnowStreaming",1,"PRE_OUTCOME_STRUCTURAL_COVERAGE"
