model,term,b,se,t,p
A,ln_resolution,-0.008308255562697302,0.0022503957104560387,-3.691908727027234,0.00022349135000387932
A,ln_issues_new,-0.09495910028259388,0.012862802041429729,-7.382458345914104,1.6497914145929826e-13
A,ln_contributors,-0.010847341419730074,0.007888432458090589,-1.3750946689801151,0.16912588528945083
B,ln_resolution,0.012560843583592808,0.005511269798419013,2.279119702540432,0.0226761291172477
B,ln_issues_new,0.12141402044008608,0.06507933170557945,1.8656310269036904,0.06211557097107012
B,ln_contributors,-0.03155515331427929,0.02496139498703495,-1.2641582463908434,0.20619595868203366
C,ln_issues_new,-0.24740538858242767,0.03900702161916497,-6.342585983567435,2.334432647188578e-10
C,ln_contributors,-0.264937360174734,0.034104528450192545,-7.768392416322597,8.43769498715119e-15
D,ln_issues_new,-0.07601186881303859,0.00849375267404617,-8.949150243720107,0.0
D,ln_contributors,-0.01963307148994234,0.006919273020809674,-2.8374471466721993,0.0045521717650347515
