spec_id,family,model,term,r5_b,r6_b,delta_b,absolute_delta_b,relative_absolute_delta_b,r5_se,r6_se,r5_p,r6_p,direction_match,p05_classification_match,interpretation_rule
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,ln_resolution,-0.008308255562697302,-0.008334224788410479,-2.5969225713176267e-05,2.5969225713176267e-05,0.0031257133964166686,0.0022503957104560387,0.0023223759539328674,0.00022349135000387932,0.0003336285685748841,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,ln_issues_new,-0.09495910028259388,-0.09470410082134026,0.0002549994612536244,0.0002549994612536244,0.0026853609658764434,0.012862802041429729,0.013047123915726143,1.6497914145929826e-13,4.1389114358025836e-13,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,ln_contributors,-0.010847341419730074,-0.011555317552385787,-0.0007079761326557136,0.0007079761326557136,0.06526724892866247,0.007888432458090589,0.008001204482859004,0.16912588528945083,0.14870814985439207,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,ln_resolution,-0.008308255562697302,-0.008345634052840584,-3.7378490143281234e-05,3.7378490143281234e-05,0.004498957676639666,0.0022503957104560387,0.002511245545913312,0.00022349135000387932,0.0008922799197423892,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,ln_issues_new,-0.09495910028259388,-0.09716849003591274,-0.002209389753318858,0.002209389753318858,0.023266751124892886,0.012862802041429729,0.013936332221443611,1.6497914145929826e-13,3.283817662236288e-12,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,ln_contributors,-0.010847341419730074,-0.00930900208092033,0.0015383393388097438,0.0015383393388097438,0.1418171770653112,0.007888432458090589,0.008400997918206006,0.16912588528945083,0.26784856881358365,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,ln_resolution,0.012560843583592808,0.01307789220040079,0.0005170486168079823,0.0005170486168079823,0.04116352642774408,0.005511269798419013,0.0056824490493075685,0.0226761291172477,0.021382086605400197,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,ln_issues_new,0.12141402044008608,0.12374082941282132,0.0023268089727352392,0.0023268089727352392,0.019164252730461594,0.06507933170557945,0.06613224038915194,0.06211557097107012,0.061352482999458946,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,ln_contributors,-0.03155515331427929,-0.032225083693296255,-0.0006699303790169628,0.0006699303790169628,0.021230458693851657,0.02496139498703495,0.025474995118241434,0.20619595868203366,0.20590553697903724,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE12,R6_1_MIN_USABLE_MONTHS,B,ln_resolution,0.012560843583592808,0.013180243556494714,0.0006193999729019063,0.0006193999729019063,0.04931197246265985,0.005511269798419013,0.006330589113337608,0.0226761291172477,0.03736451620545189,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE12,R6_1_MIN_USABLE_MONTHS,B,ln_issues_new,0.12141402044008608,0.12673031469444987,0.005316294254363793,0.005316294254363793,0.043786493809314334,0.06507933170557945,0.07138366519598545,0.06211557097107012,0.07586736244918879,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_B_GE12,R6_1_MIN_USABLE_MONTHS,B,ln_contributors,-0.03155515331427929,-0.03444737809897759,-0.002892224784698298,0.002892224784698298,0.09165617913158776,0.02496139498703495,0.0270828972603333,0.20619595868203366,0.20342522617680436,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_C_GE6,R6_1_MIN_USABLE_MONTHS,C,ln_issues_new,-0.24740538858242767,-0.24912381164529346,-0.0017184230628657926,0.0017184230628657926,0.006945778637692316,0.03900702161916497,0.039282150625567544,2.334432647188578e-10,2.346123295637881e-10,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_C_GE6,R6_1_MIN_USABLE_MONTHS,C,ln_contributors,-0.264937360174734,-0.26099691945568065,0.003940440719053362,0.003940440719053362,0.014873103274126854,0.034104528450192545,0.03428574643778023,8.43769498715119e-15,2.886579864025407e-14,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_C_GE12,R6_1_MIN_USABLE_MONTHS,C,ln_issues_new,-0.24740538858242767,-0.26791466915665624,-0.020509280574228572,0.020509280574228572,0.08289746917697198,0.03900702161916497,0.04131596327880723,2.334432647188578e-10,9.254819133275305e-11,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_C_GE12,R6_1_MIN_USABLE_MONTHS,C,ln_contributors,-0.264937360174734,-0.249753899205347,0.015183460969387025,0.015183460969387025,0.05730962578993421,0.034104528450192545,0.03542679677866096,8.43769498715119e-15,1.8904877663317166e-12,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_D_GE6,R6_1_MIN_USABLE_MONTHS,D,ln_issues_new,-0.07601186881303859,-0.0760118688130386,-1.3877787807814457e-17,1.3877787807814457e-17,1.8257395883725396e-16,0.00849375267404617,0.008493752674046172,0.0,0.0,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_D_GE6,R6_1_MIN_USABLE_MONTHS,D,ln_contributors,-0.01963307148994234,-0.019633071489942353,-1.3877787807814457e-17,1.3877787807814457e-17,7.068577025721009e-16,0.006919273020809674,0.00691927302080968,0.0045521717650347515,0.0045521717650347515,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_D_GE12,R6_1_MIN_USABLE_MONTHS,D,ln_issues_new,-0.07601186881303859,-0.07587634836912667,0.0001355204439119212,0.0001355204439119212,0.0017828853049943023,0.00849375267404617,0.008494064726683084,0.0,0.0,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_1_D_GE12,R6_1_MIN_USABLE_MONTHS,D,ln_contributors,-0.01963307148994234,-0.019560175816616957,7.289567332538147e-05,7.289567332538147e-05,0.003712902148944172,0.006919273020809674,0.006921813869778024,0.0045521717650347515,0.004719861186688323,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,ln_resolution,-0.008308255562697302,-0.0083082555626973,1.734723475976807e-18,1.734723475976807e-18,2.0879515114646082e-16,0.0022503957104560387,0.0022503957104560387,0.00022349135000387932,0.00022349135000387932,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,ln_issues_new,-0.09495910028259388,-0.0949591002825939,-1.3877787807814457e-17,1.3877787807814457e-17,1.4614489571315232e-16,0.012862802041429729,0.012862802041429729,1.6497914145929826e-13,1.6497914145929826e-13,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
R6_2_A_COMMON,R6_2_COMMON_SUPPORT,A,ln_contributors,-0.010847341419730074,-0.010847341419730074,0.0,0.0,0.0,0.007888432458090589,0.007888432458090589,0.16912588528945083,0.16912588528945083,True,True,DESCRIPTIVE_ONLY__NO_HARD_MAGNITUDE_THRESHOLD__NO_SIGNIFICANCE_ONLY_DECISION
