spec_id,family,model,window,sample_rule,y,term,b,se,t,p,ci95_low,ci95_high,sign,p_lt_0_05,pre_estimator_N,pre_estimator_projects,estimator_N,estimator_projects,rsquared_within,rsquared_overall,rsquared_between
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=6 eligible months,ln_open_age,ln_resolution,-0.008334224788410479,0.0023223759539328674,-3.588663056167432,0.0003336285685748841,-0.012886431587778278,-0.0037820179890426797,negative,True,13451,717,13451,717,0.14275453055634968,-0.0834687266809675,-0.07538035038978141
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=6 eligible months,ln_open_age,ln_issues_new,-0.09470410082134026,0.013047123915726143,-7.25861894414831,4.1389114358025836e-13,-0.12027842960337158,-0.06912977203930894,negative,True,13451,717,13451,717,0.14275453055634968,-0.0834687266809675,-0.07538035038978141
R6_1_A_GE6,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=6 eligible months,ln_open_age,ln_contributors,-0.011555317552385787,0.008001204482859004,-1.4441972551933608,0.14870814985439207,-0.027238883939783784,0.004128248835012208,negative,False,13451,717,13451,717,0.14275453055634968,-0.0834687266809675,-0.07538035038978141
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=12 eligible months,ln_open_age,ln_resolution,-0.008345634052840584,0.002511245545913312,-3.3233046710314302,0.0008922799197423892,-0.013268089021608385,-0.003423179084072782,negative,True,12444,600,12444,600,0.14918682595339583,-0.08814831322055472,-0.08378078278892853
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=12 eligible months,ln_open_age,ln_issues_new,-0.09716849003591274,0.013936332221443611,-6.972314414721051,3.283817662236288e-12,-0.12448599704014895,-0.06985098303167653,negative,True,12444,600,12444,600,0.14918682595339583,-0.08814831322055472,-0.08378078278892853
R6_1_A_GE12,R6_1_MIN_USABLE_MONTHS,A,2024-01..2025-12,elig_A==1 and project has >=12 eligible months,ln_open_age,ln_contributors,-0.00930900208092033,0.008400997918206006,-1.1080828934318108,0.26784856881358365,-0.02577634196824357,0.0071583378064029105,negative,False,12444,600,12444,600,0.14918682595339583,-0.08814831322055472,-0.08378078278892853
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,2024-01..2025-12,elig_B==1 and project has >=6 eligible months,asinh_backlog,ln_resolution,0.01307789220040079,0.0056824490493075685,2.3014534907258675,0.021382086605400197,0.0019394374308059174,0.024216346969995663,positive,True,13471,718,13471,718,-0.03742765440232887,0.09133449927069148,0.08709243543952472
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,2024-01..2025-12,elig_B==1 and project has >=6 eligible months,asinh_backlog,ln_issues_new,0.12374082941282132,0.06613224038915194,1.8711120126079872,0.061352482999458946,-0.00588830795292479,0.25336996677856743,positive,False,13471,718,13471,718,-0.03742765440232887,0.09133449927069148,0.08709243543952472
R6_1_B_GE6,R6_1_MIN_USABLE_MONTHS,B,2024-01..2025-12,elig_B==1 and project has >=6 eligible months,asinh_backlog,ln_contributors,-0.032225083693296255,0.025474995118241434,-1.2649691803167964,0.20590553697903724,-0.08215990553120764,0.017709738144615135,negative,False,13471,718,13471,718,-0.03742765440232887,0.09133449927069148,0.08709243543952472
R6_1_B_GE12,R6_1_MIN_USABLE_MONTHS,B,2024-01..2025-12,elig_B==1 and project has >=12 eligible months,asinh_backlog,ln_resolution,0.013180243556494714,0.006330589113337608,2.0819932111414254,0.03736451620545189,0.0007712481500693289,0.025589238962920098,positive,True,12465,601,12465,601,-0.04319138234790554,0.09435416033058308,0.09213735838333881
