model,term,N,projects,b_stata,b_python,b_abs_diff,b_rel_diff,se_stata_raw,se_python,raw_se_rel_diff,stata_covariance_scale,python_covariance_scale,deterministic_se_multiplier_stata_to_python,se_stata_reconciled,reconciled_se_rel_diff
A,ln_resolution,13781,805,-0.00830825556269709,-0.008308255562697302,2.1163626406917047e-16,2.5473008439868218e-14,0.00218490935302355,0.0022503957104560387,0.02909992990486899,1.0031364914557648,1.0641698841698841,1.029972116390939,0.002250395710456023,6.937673766107302e-15
A,ln_issues_new,13781,805,-0.0949591002825943,-0.09495910028259388,4.163336342344337e-16,4.38434687139457e-15,0.01248849540364413,0.012862802041429729,0.02909992990485246,1.0031364914557648,1.0641698841698841,1.029972116390939,0.012862802041429859,1.0114768172534136e-14
A,ln_contributors,13781,805,-0.01084734141973019,-0.010847341419730074,1.1622647289044608e-16,1.0714742755219579e-14,0.00765887962650101,0.007888432458090589,0.029099929904849844,1.0031364914557648,1.0641698841698841,1.029972116390939,0.00788843245809069,1.275462040667692e-14
B,ln_resolution,13797,805,0.01256084358359291,0.012560843583592808,1.0234868508263162e-16,8.148233389063235e-15,0.00535108546026828,0.005511269798419013,0.029064869623454857,1.0031342922280393,1.0640906987505785,1.0299349242952711,0.005511269798418937,1.384940961606983e-14
B,ln_issues_new,13797,805,0.12141402044008807,0.12141402044008608,1.9984014443252818e-15,1.645939601605919e-14,0.06318780941437666,0.06507933170557945,0.029064869623432608,1.0031342922280393,1.0640906987505785,1.0299349242952711,0.06507933170558004,9.16949913431365e-15
B,ln_contributors,13797,805,-0.03155515331427969,-0.03155515331427929,3.95516952522712e-16,1.2534147705875137e-14,0.02423589529611789,0.02496139498703495,0.02906486962342802,1.0031342922280393,1.0640906987505785,1.0299349242952711,0.0249613949870353,1.389925103847625e-14
C,ln_issues_new,13797,805,-0.24740538858243155,-0.24740538858242767,3.885780586188048e-15,1.570612753607599e-14,0.03787337288960149,0.03900702161916497,0.02906268365299889,1.003061448259393,1.0640086373100948,1.0299326054974915,0.039007021619165326,9.0723047905149e-15
C,ln_contributors,13797,805,-0.26493736017473646,-0.264937360174734,2.4424906541753444e-15,9.219125051160959e-15,0.03311335932871002,0.034104528450192545,0.029062683652995344,1.003061448259393,1.0640086373100948,1.0299326054974915,0.034104528450192975,1.2614495540395583e-14
D,ln_issues_new,20852,871,-0.07601186881304314,-0.07601186881303859,4.551914400963142e-15,5.98842584986193e-14,0.00831902565498632,0.00849375267404617,0.02057123932908394,1.0023512276321265,1.0448987773100822,1.0210033033081378,0.008493752674046177,8.169408941126781e-16
D,ln_contributors,20852,871,-0.0196330714899435,-0.01963307148994234,1.1622647289044608e-15,5.919933259041345e-14,0.00677693499951537,0.006919273020809674,0.020571239329077454,1.0023512276321265,1.0448987773100822,1.0210033033081378,0.006919273020809726,7.521267642249277e-15
