model,N,projects,r2_within,term,b,se
A,       13781,         805,      .36255944373499438,ln_resolution,   -.0083082555626970978,    .0021849093530235501
A,       13781,         805,      .36255944373499438,ln_issues_new,      -.0949591002825943,     .012488495403644138
A,       13781,         805,      .36255944373499438,ln_contributors,     -.01084734141973019,    .0076588796265010164
B,       13797,         805,      .12910978607495782,ln_resolution,     .012560843583592917,    .0053510854602682829
B,       13797,         805,      .12910978607495782,ln_issues_new,      .12141402044008809,     .063187809414376656
B,       13797,         805,      .12910978607495782,ln_contributors,    -.031555153314279695,     .024235895296117891
C,       13797,         805,     .056464469455692057,ln_issues_new,     -.24740538858243155,     .037873372889601499
C,       13797,         805,     .056464469455692057,ln_contributors,     -.26493736017473646,     .033113359328710026
D,       20852,         871,      .37993604759838628,ln_issues_new,    -.076011868813043143,    .0083190256549863281
D,       20852,         871,      .37993604759838628,ln_contributors,    -.019633071489943508,    .0067769349995153759
