model,N,projects,r2_within,term,b,se
A,       13781,         805,  0.36255944,ln_resolution,     -0.0083082556,      0.0021849094
A,       13781,         805,  0.36255944,ln_issues_new,     -0.0949591003,      0.0124884954
A,       13781,         805,  0.36255944,ln_contributors,     -0.0108473414,      0.0076588796
B,       13797,         805,  0.12910979,ln_resolution,      0.0125608436,      0.0053510855
B,       13797,         805,  0.12910979,ln_issues_new,      0.1214140204,      0.0631878094
B,       13797,         805,  0.12910979,ln_contributors,     -0.0315551533,      0.0242358953
C,       13797,         805,  0.05646447,ln_issues_new,     -0.2474053886,      0.0378733729
C,       13797,         805,  0.05646447,ln_contributors,     -0.2649373602,      0.0331133593
D,       20852,         871,  0.37993605,ln_issues_new,     -0.0760118688,      0.0083190257
D,       20852,         871,  0.37993605,ln_contributors,     -0.0196330715,      0.0067769350
